Roll No,Rank,Original_Category,Original_Category_Normalized,Assigned,Assigned_Post,Assigned_Category,Assigned_SubCategory,Assigned_Against
1111076,638,BC,OBC,False,,,,
1120098,639,"EWS,NG,RG","EWS,NG,RG",True,POST-23,EWS,GE,Vertical
1110550,640,"BC,RG","OBC,RG",False,,,,
1115765,641,"EWS,NG,RG","EWS,NG,RG",True,POST-23,EWS,GE,Vertical
1107211,642,GE,GE,False,,,,
1100055,643,"GE,WE","GE,WE",True,POST-25,UR,"GE, WE",UR
1115645,644,"GE,WE","GE,WE",True,POST-25,UR,"GE, WE",UR
1102185,645,BC,OBC,False,,,,
1108034,646,BC,OBC,False,,,,
1110579,647,"BC,NG,RG","OBC,NG,RG",False,,,,
1103974,648,"GE,WE","GE,WE",True,POST-25,UR,"GE, WE",UR
1110304,649,"GE,WE,DV,RG","GE,WE,DV,RG",True,POST-3,UR,DV,UR
1105021,650,"GE,WE,RG","GE,WE,RG",True,POST-25,UR,"GE, WE",UR
1115034,651,"GE,WE","GE,WE",True,POST-26,UR,"GE, WE",UR
1100421,652,"EWS,RG","EWS,RG",True,POST-23,EWS,GE,Vertical
1106419,653,BC,OBC,False,,,,
1108122,654,"GE,WE","GE,WE",True,POST-30,UR,"GE, WE",UR
1107399,655,EWS,EWS,True,POST-23,EWS,GE,Vertical
1101777,656,BC,OBC,False,,,,
1117971,657,BC,OBC,False,,,,
1116852,658,"EWS,NG","EWS,NG",True,POST-25,EWS,GE,Vertical
1107071,659,"MB,WE","MBC,WE",True,POST-3,MBC,"GE, WE",Vertical
1109496,660,"BC,WE,NG","OBC,WE,NG",True,POST-25,OBC,"GE, WE",Vertical
1104337,661,"SC,WE","SC,WE",True,POST-3,SC,GE,Vertical
1101127,662,BC,OBC,False,,,,
1116049,663,"BC,RG","OBC,RG",False,,,,
1109316,664,BC,OBC,False,,,,
1113012,665,"MB,RG","MBC,RG",True,POST-12,MBC,GE,Vertical
1110361,666,BC,OBC,False,,,,
1112863,667,BC,OBC,False,,,,
1103478,668,"BC,WE","OBC,WE",True,POST-25,OBC,"GE, WE",Vertical
1110972,669,ST,ST,True,POST-3,ST,GE,Vertical
1118755,670,GE,GE,False,,,,
1105115,671,EWS,EWS,True,POST-25,EWS,GE,Vertical
1119938,672,"GE,TSP-UR","GE,TSP-UR",False,,,,
1118047,673,BC,OBC,False,,,,
1113677,674,ST,ST,True,POST-4,ST,GE,Vertical
1106026,675,BC,OBC,False,,,,
1115920,676,BC,OBC,False,,,,
1101009,677,BC,OBC,False,,,,
1110170,678,"GE,WE,RG","GE,WE,RG",True,POST-32,UR,"GE, WE",UR
1117841,679,"GE,WE","GE,WE",False,,,,
1101645,680,"EWS,WE,NG","EWS,WE,NG",True,POST-19,EWS,"GE, WE",Vertical
1119889,681,GE,GE,False,,,,
1117820,682,"BC,WE","OBC,WE",True,POST-26,OBC,"GE, WE",Vertical
1108731,683,"EWS,RG","EWS,RG",True,POST-25,EWS,GE,Vertical
1107182,684,EWS,EWS,True,POST-25,EWS,GE,Vertical
1109493,685,"BC,WE,RG","OBC,WE,RG",True,POST-30,OBC,"GE, WE",Vertical
1104755,686,"EWS,WE","EWS,WE",True,POST-19,EWS,"GE, WE",Vertical
1106694,687,"BC,WE","OBC,WE",True,POST-32,OBC,"GE, WE",Vertical
1113586,688,"BC,RG","OBC,RG",False,,,,
1100017,689,BC,OBC,False,,,,
1109398,690,BC,OBC,False,,,,
1115987,691,"BC,WE","OBC,WE",True,POST-33,OBC,"GE, WE",Vertical
1115269,692,"BC,TSP-UR","OBC,TSP-UR",False,,,,
1103390,693,BC,OBC,False,,,,
1101118,694,"BC,WE,DV","OBC,WE,DV",True,POST-3,OBC,DV,Vertical
1103794,695,"GE,WE","GE,WE",False,,,,
1106616,696,"EWS,WE","EWS,WE",True,POST-19,EWS,"GE, WE",Vertical
1100037,697,SC,SC,True,POST-3,SC,GE,Vertical
1102196,698,BC,OBC,False,,,,
1103560,699,"BC,WE","OBC,WE",True,POST-33,OBC,"GE, WE",Vertical
1118248,700,BC,OBC,False,,,,
1108759,701,"BC,NG,RG","OBC,NG,RG",False,,,,
1120033,702,GE,GE,False,,,,
1105241,703,GE,GE,False,,,,
1102228,704,BC,OBC,False,,,,
1100644,705,EWS,EWS,True,POST-28,EWS,GE,Vertical
1102008,706,BC,OBC,False,,,,
1102365,707,BC,OBC,False,,,,
1106251,708,EWS,EWS,True,POST-30,EWS,GE,Vertical
1112158,709,GE,GE,False,,,,
1100607,710,"BC,RG","OBC,RG",False,,,,
1119259,711,GE,GE,False,,,,
1116676,712,GE,GE,False,,,,
1109237,713,ST,ST,True,POST-4,ST,GE,Vertical
